"","sourceid","dstid","hod","mean_travel_time","standard_deviation_travel_time","geometric_mean_travel_time","geometric_standard_deviation_travel_time"
"6156154",1743,2074,0,3710.9,409.57,3688.81,1.11
"10787103",1514,1082,14,1536.25,349.9,1495.17,1.27
"9256867",1333,1966,14,2575.19,490.46,2529.69,1.21
"6822388",210,194,22,1706.56,623.15,1614.54,1.38
"1384949",2332,181,19,591.54,212.46,560.51,1.37
"2612254",1020,1605,15,1221.24,405.68,1147.19,1.45
"4032795",2533,108,9,970,331.22,917.83,1.39
"4012154",1654,1056,3,896.14,321.7,847.44,1.38
"5358203",1698,963,21,839.2,208.49,815.98,1.26
"3983012",1771,2330,1,672.87,204.21,644.92,1.33
"6873079",2452,26,11,4781.5,415.86,4764.01,1.09
"1032510",1527,1689,7,1918.94,888.54,1747.01,1.53
"9912280",595,206,4,1568.55,481.97,1500.13,1.34
"4720942",2245,176,15,2641.09,724.22,2565.79,1.25
"1398705",1741,1710,3,575.27,221.65,511.26,1.77
"8038001",345,1257,0,2738.59,540.74,2691.53,1.2
"5119574",46,2418,0,940.63,283.16,908.63,1.28
"10270354",303,2378,13,1065.69,336.9,1022.39,1.32
"8696796",2232,1721,14,1821.77,396.14,1782.61,1.23
"1514881",541,1449,19,634.28,254.67,590.49,1.45
"2503602",756,2121,18,1326.07,367.7,1287.76,1.26
"5821680",850,1179,11,288,25.43,286.87,1.09
"7761032",1464,1154,0,4401.82,475.6,4378.54,1.11
"1310298",683,684,11,595.17,236.03,559.27,1.4
"1239905",949,536,14,2536.5,562.33,2471.61,1.26
"1160091",52,1233,21,943.11,204.93,922.46,1.23
"3872132",1089,1211,15,2061.72,819.99,1960.93,1.33
"7059402",2155,2376,15,1561.11,464.49,1498.48,1.33
"7520328",2270,1736,7,6531.5,906.75,6468.53,1.15
"6410392",1311,1262,23,1000.41,262.99,968.03,1.29
"7029780",2697,2513,21,633.05,257.24,592.25,1.42
"6774628",469,1694,6,2957,936.23,2801.63,1.4
"1729808",1562,446,12,2565.86,265.3,2552.47,1.11
"9664980",2305,2535,22,1186.54,270.74,1156.32,1.26
"5121971",37,920,6,534.73,242.79,486.96,1.55
"1903183",1460,722,8,2585.77,500.07,2539.71,1.21
"7267846",543,2247,3,926.57,392.76,872.84,1.38
"10202221",717,1724,15,1960.24,414.04,1915.74,1.24
"11065752",1655,102,10,99.2,127.46,68.8,2.07
"6184098",858,82,4,472.04,254.33,417.37,1.61
"5587760",212,253,21,2464.3,387.89,2434.69,1.17
"8482473",1690,2134,19,2007.45,394.26,1972.3,1.2
"3878730",151,1035,1,1113.64,300.69,1081.69,1.26
"10254462",242,1257,0,1463.5,122.94,1458.34,1.09
"8647422",1909,1832,20,1447.75,288.43,1418.94,1.22
"6003942",1969,1809,20,1174.68,658.63,1076.93,1.44
"3005851",532,1361,10,3194.5,335.72,3178.36,1.1
"8212461",1884,2152,22,351.82,216.96,304.54,1.67
"7947804",1277,1448,14,1220.11,289.89,1189.49,1.25
"6725743",883,2565,14,1950.06,256.21,1935.03,1.13
"160791",2466,1210,15,1358.93,327.14,1332.6,1.2
"8812066",1747,1454,2,221.34,167.88,191.74,1.59
"7743179",980,1236,10,2390.27,448.85,2351.26,1.2
"640789",1755,1449,6,867.42,336.19,815.28,1.41
